"~start_node_id","~start_node_labels","~start_node_property_name","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_name"
"125","Author","Tang, Xiaolan","WROTE_A_PAPER_WITH","126","Author","Yang, Laurence T."
"127","Author","Li, Jie","WROTE_A_PAPER_WITH","128","Author","Wu, Chentao"
"129","Author","Santhosh Kumar, Sripathi Venkata Naga","WROTE_A_PAPER_WITH","130","Author","Shanmugapriya, Rathinam"
"131","Author","Koo, Chulmo","WROTE_A_PAPER_WITH","132","Author","Xiang, Zheng"
"133","Author","Han, Weili","WROTE_A_PAPER_WITH","134","Author","Wang, Junyu"
"135","Author","Tan, Hailun","WROTE_A_PAPER_WITH","136","Author","Tsudik, Gene"
"137","Author","Cai, Yunlong","WROTE_A_PAPER_WITH","138","Author","Qin, Zhijin"
"139","Author","Qi, Yong","WROTE_A_PAPER_WITH","140","Author","Wei, Wei"
"141","Author","Letaief, Khaled Ben","WROTE_A_PAPER_WITH","142","Author","Xiong, Ke"
"143","Author","Feng, Yue","WROTE_A_PAPER_WITH","144","Author","Huang, Weiqing"
"145","Author","Ku, Meng-Lin","WROTE_A_PAPER_WITH","146","Author","Wang, Li-Chun"
"147","Author","Liu, Lei","WROTE_A_PAPER_WITH","148","Author","Zhang, Ning"
"85","Author","Alageswaran, R.","WROTE_A_PAPER_WITH","149","Author","Sulthan Alikhan, J."
"150","Author","Elango, P.","WROTE_A_PAPER_WITH","151","Author","Nandhini, P.S."
"152","Author","Chen, Xiangcong","WROTE_A_PAPER_WITH","153","Author","Kadry, Seifedine Nimer"
"154","Author","Liang, Huaguo","WROTE_A_PAPER_WITH","155","Author","Yao, Liang"
"156","Author","Li, Ni","WROTE_A_PAPER_WITH","157","Author","Peng, Yang"
"158","Author","Lombardo, Seamus","WROTE_A_PAPER_WITH","159","Author","Sedighi Maman, Zahra"
"160","Author","Jaglan, Vivek","WROTE_A_PAPER_WITH","161","Author","Jangra, Monika"
"162","Author","Deng, Peixi","WROTE_A_PAPER_WITH","163","Author","Fan, Yifan"
"164","Author","Jin, Renchao","WROTE_A_PAPER_WITH","165","Author","Liu, Wei"
"166","Author","Gong, Ping","WROTE_A_PAPER_WITH","167","Author","Zhu, Weifu"
"168","Author","Ning, Zhenhu","WROTE_A_PAPER_WITH","169","Author","Wu, Tongjuan"
"170","Author","Hawthorne, Nico","WROTE_A_PAPER_WITH","171","Author","Keefe, Matthew G."
"172","Author","Chandrasekaran, K.","WROTE_A_PAPER_WITH","173","Author","Divakarala, Usha"
"174","Author","Sarma, Sanjay E.","WROTE_A_PAPER_WITH","175","Author","Zhao, Jinhua"
"176","Author","Liu, Mingqing","WROTE_A_PAPER_WITH","177","Author","Xu, Mengyuan"
"178","Author","Liu, Xin","WROTE_A_PAPER_WITH","179","Author","Lu, Weidang"
"180","Author","Li, X.J.","WROTE_A_PAPER_WITH","181","Author","Nie, H."
"182","Author","Liu, Wenfen","WROTE_A_PAPER_WITH","183","Author","Zhang, Yudi"
"184","Author","Ahmed, Syed Hassan","WROTE_A_PAPER_WITH","185","Author","Jiang, Dazhi"
"186","Author","Ganapathy, Sannasi","WROTE_A_PAPER_WITH","187","Author","Selvi, M."
"188","Author","Sun, Ping","WROTE_A_PAPER_WITH","189","Author","Yin, Zegao"
"190","Author","Chen, Jin","WROTE_A_PAPER_WITH","191","Author","Jiao, Yutao"
"192","Author","Li, Yuanfa","WROTE_A_PAPER_WITH","193","Author","Lin, Jerry Chun-Wei"
"194","Author","Dong, Ke","WROTE_A_PAPER_WITH","195","Author","Hu, Yixiang"
"196","Author","Pedersen, Gert Frølund","WROTE_A_PAPER_WITH","197","Author","Xu, Yuqing"
"198","Author","Kalyonova, Olga","WROTE_A_PAPER_WITH","199","Author","Perl, Ivan"
"200","Author","Dhatterwal, Jagjit Singh","WROTE_A_PAPER_WITH","201","Author","Stephan, Thompson"
"202","Author","Liu, Shigang","WROTE_A_PAPER_WITH","203","Author","Zhang, Jun"
"204","Author","Liang, Yibin","WROTE_A_PAPER_WITH","205","Author","Lombardi, Jack"
"206","Author","Kobielnik, Martyna","WROTE_A_PAPER_WITH","207","Author","Mukherjee, Priya"
"208","Author","Chen, Chien-Ming","WROTE_A_PAPER_WITH","209","Author","Chen, Yeh-Cheng"
"210","Author","Aaron Gulliver, T.","WROTE_A_PAPER_WITH","211","Author","Wang, Han"
"212","Author","Limkar, Suresh","WROTE_A_PAPER_WITH","213","Author","Mutlu, Rahim"
"214","Author","Babu, Thanikanti Sudhakar","WROTE_A_PAPER_WITH","215","Author","Ocheme, Simon"
"216","Author","Choudhury, Subhrabrata","WROTE_A_PAPER_WITH","217","Author","Dutta, Animesh"
"218","Author","Jayakumar, L.","WROTE_A_PAPER_WITH","219","Author","Kazbekova, Gulnur"
"220","Author","Perera, Charith","WROTE_A_PAPER_WITH","221","Author","Shyamsundar, R.K."
"222","Author","Deng, Jianhua","WROTE_A_PAPER_WITH","223","Author","Mai, Songyan"
"224","Author","Xu, Sicong","WROTE_A_PAPER_WITH","225","Author","Zhu, Yujun"
"226","Author","He, Shiwen","WROTE_A_PAPER_WITH","227","Author","Zhu, Jianyue"
"228","Author","Chatterjee, Soumyajit","WROTE_A_PAPER_WITH","229","Author","Nandi, Sukumar"
"230","Author","Ma, Maode","WROTE_A_PAPER_WITH","231","Author","Xing, Guanglin"
